127.0.0.1, 2017-04-01 17:33:47, GET, /joinup/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002248
127.0.0.1, 2017-04-01 17:33:47, GET, /joinup/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001271
127.0.0.1, 2017-04-01 17:33:47, GET, /joinup/static/js/jquery.js, HTTP/1.1, 304, 0.002030
127.0.0.1, 2017-04-01 17:33:47, GET, /joinup/static/js/web2py.js, HTTP/1.1, 304, 0.001602
127.0.0.1, 2017-04-01 17:33:47, GET, /joinup/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001605
127.0.0.1, 2017-04-01 17:33:47, GET, /joinup/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001312
127.0.0.1, 2017-04-01 17:33:47, GET, /joinup/static/js/share.js, HTTP/1.1, 304, 0.000989
127.0.0.1, 2017-04-01 17:33:47, GET, /joinup/static/images/twitter.png, HTTP/1.1, 304, 0.000873
127.0.0.1, 2017-04-01 17:33:47, GET, /joinup/static/images/facebook.png, HTTP/1.1, 304, 0.000660
127.0.0.1, 2017-04-01 17:33:47, GET, /joinup/static/images/gplus-32.png, HTTP/1.1, 304, 0.000450
127.0.0.1, 2017-04-01 17:33:54, GET, /joinup/default/user/logout, HTTP/1.1, 303, 0.017645
127.0.0.1, 2017-04-01 17:33:54, GET, /joinup/default/index, HTTP/1.1, 200, 0.018240
127.0.0.1, 2017-04-01 17:33:58, GET, /joinup/default/index, HTTP/1.1, 200, 0.023022
127.0.0.1, 2017-04-01 17:33:58, GET, /joinup/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000909
127.0.0.1, 2017-04-01 17:33:58, GET, /joinup/static/js/web2py.js, HTTP/1.1, 304, 0.000594
127.0.0.1, 2017-04-01 17:33:58, GET, /joinup/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001393
127.0.0.1, 2017-04-01 17:33:58, GET, /joinup/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001759
127.0.0.1, 2017-04-01 17:33:58, GET, /joinup/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002207
127.0.0.1, 2017-04-01 17:33:58, GET, /joinup/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.002237
127.0.0.1, 2017-04-01 17:33:58, GET, /joinup/static/css/calendar.css, HTTP/1.1, 304, 0.001687
127.0.0.1, 2017-04-01 17:33:58, GET, /joinup/static/js/jquery.js, HTTP/1.1, 304, 0.001977
127.0.0.1, 2017-04-01 17:33:58, GET, /joinup/static/js/calendar.js, HTTP/1.1, 304, 0.001337
127.0.0.1, 2017-04-01 17:33:58, GET, /joinup/static/js/share.js, HTTP/1.1, 304, 0.002552
127.0.0.1, 2017-04-01 17:33:58, GET, /joinup/static/images/background.jpg, HTTP/1.1, 304, 0.000294
127.0.0.1, 2017-04-01 17:33:58, GET, /joinup/static/images/twitter.png, HTTP/1.1, 304, 0.001795
127.0.0.1, 2017-04-01 17:33:58, GET, /joinup/static/images/facebook.png, HTTP/1.1, 304, 0.001151
127.0.0.1, 2017-04-01 17:33:58, GET, /joinup/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000676
127.0.0.1, 2017-04-01 17:33:58, GET, /joinup/static/images/gplus-32.png, HTTP/1.1, 304, 0.002023
127.0.0.1, 2017-04-01 17:34:04, GET, /joinup/default/index, HTTP/1.1, 200, 0.016470
127.0.0.1, 2017-04-01 17:34:06, GET, /joinup/default/settings, HTTP/1.1, 303, 0.009544
127.0.0.1, 2017-04-01 17:34:06, GET, /joinup/default/user/login, HTTP/1.1, 200, 0.021199
127.0.0.1, 2017-04-01 17:34:07, GET, /joinup/default/settings, HTTP/1.1, 303, 0.018175
127.0.0.1, 2017-04-01 17:34:07, GET, /joinup/default/user/login, HTTP/1.1, 200, 0.021179
127.0.0.1, 2017-04-01 17:34:14, POST, /joinup/default/user/login, HTTP/1.1, 303, 0.027411
127.0.0.1, 2017-04-01 17:34:14, GET, /joinup/default/settings, HTTP/1.1, 200, 0.020008
127.0.0.1, 2017-04-01 17:47:08, GET, /joinup/default/settings, HTTP/1.1, 200, 0.028968
127.0.0.1, 2017-04-01 17:47:08, GET, /joinup/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000400
127.0.0.1, 2017-04-01 17:47:08, GET, /joinup/static/js/calendar.js, HTTP/1.1, 304, 0.000531
127.0.0.1, 2017-04-01 17:47:08, GET, /joinup/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001106
127.0.0.1, 2017-04-01 17:47:08, GET, /joinup/static/js/jquery.js, HTTP/1.1, 304, 0.000622
127.0.0.1, 2017-04-01 17:47:08, GET, /joinup/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000848
127.0.0.1, 2017-04-01 17:47:08, GET, /joinup/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001697
127.0.0.1, 2017-04-01 17:47:08, GET, /joinup/static/js/web2py.js, HTTP/1.1, 304, 0.001408
127.0.0.1, 2017-04-01 17:47:08, GET, /joinup/static/css/calendar.css, HTTP/1.1, 304, 0.003858
